Input parameters: Throughput:,1800.000000
Iteration speed:,999
Interval between vehicle spawns:,39
Lanes in total:,3
Plsubus lanes:,1
Duration of simulation, 990
Time stopped spawning cars, 900
Total number of cars:,461
ID, TYPE, LANE, SECS ON BRIDGE, AVG SPEED, TIME WAITED FOR GREEN
1,Car,2,301,7.854,244
2,Car,3,293,8.229,235
3,Car,3,325,7.358,265
4,Car,2,327,7.371,264
5,Car,2,327,7.364,262
6,Car,3,326,7.371,261
7,Car,3,326,7.386,259
8,Car,3,326,7.390,257
9,Bus,3,329,7.296,245
10,Car,3,328,7.305,244
11,Bus,3,328,7.297,242
12,Bus,3,328,7.343,241
13,Car,3,327,7.373,238
14,Car,2,326,7.314,260
15,Car,3,327,7.351,237
16,Car,2,327,7.372,259
17,Car,2,327,7.374,256
18,Car,3,328,7.352,236
19,Bus,2,330,7.261,245
20,Car,2,329,7.289,243
21,Car,2,329,7.284,241
22,Car,3,287,8.395,194
23,Car,3,287,8.375,192
24,Car,2,283,8.503,196
25,Bus,3,287,8.374,187
26,Car,2,283,8.475,195
27,Car,3,285,8.406,183
28,Car,3,285,8.408,180
29,Car,3,285,8.401,178
30,Car,3,285,8.421,174
31,Bus,2,283,8.469,189
32,Car,2,282,8.487,189
33,Car,2,282,8.497,185
34,Bus,3,286,8.429,168
35,Car,3,316,7.617,197
36,Car,3,315,7.572,193
37,Car,2,282,8.502,182
38,Car,2,283,8.509,177
39,Car,3,316,7.587,193
40,Bus,3,319,7.533,189
41,Car,2,282,8.530,177
42,Car,2,269,8.942,167
43,Car,3,311,7.706,185
44,Car,3,311,7.723,184
45,Car,3,311,7.750,182
46,Car,2,268,8.933,165
47,Car,2,268,8.940,161
48,Car,3,310,7.716,181
49,Car,2,268,8.931,159
50,Car,2,300,8.020,187
51,Car,2,300,7.973,180
52,Car,3,310,7.719,181
53,Car,3,310,7.719,180
54,Car,2,300,7.983,178
55,Bus,3,311,7.690,172
56,Car,3,310,7.714,173
57,Car,3,310,7.712,169
58,Car,2,301,8.001,173
59,Bus,2,302,7.926,171
60,Car,2,302,7.980,169
61,Car,3,310,7.721,168
62,Car,3,278,8.635,143
63,Car,3,278,8.669,141
64,Car,2,270,8.895,140
65,Car,2,270,8.926,139
66,Car,3,277,8.629,139
67,Car,3,277,8.631,138
68,Car,2,269,8.885,135
69,Car,3,278,8.665,137
70,Car,2,269,8.885,132
71,Car,2,270,8.920,131
72,Car,3,277,8.629,134
73,Car,3,309,7.740,163
74,Car,2,269,8.916,131
75,Car,3,310,7.776,159
76,Car,2,269,8.927,130
77,Car,2,269,8.912,129
78,Car,2,270,8.930,127
79,Car,3,310,7.758,157
80,Car,2,269,8.905,127
81,Car,2,269,8.926,127
82,Plus Bus,1,143,16.747,69
83,Car,2,215,11.181,76
84,Car,2,215,11.203,75
85,Car,2,215,11.177,75
86,Bus,3,256,9.360,90
87,Car,2,215,11.212,75
88,Car,2,247,9.701,103
89,Car,2,247,9.680,101
90,Car,3,255,9.423,88
91,Car,2,248,9.720,98
92,Car,3,255,9.438,84
93,Car,2,248,9.722,98
94,Car,3,255,9.423,78
95,Car,2,248,9.698,93
96,Car,3,255,9.423,75
97,Car,3,255,9.434,69
98,Car,2,248,9.680,90
99,Car,3,255,9.450,69
100,Bus,2,250,9.639,85
101,Car,3,255,9.435,64
102,Car,2,249,9.685,83
103,Car,3,254,9.470,61
104,Car,3,253,9.448,56
105,Car,3,253,9.457,55
106,Car,2,249,9.667,80
107,Car,3,253,9.500,53
108,Car,2,249,9.684,77
109,Car,3,253,9.520,50
110,Car,2,249,9.675,78
111,Car,3,253,9.513,48
112,Car,3,253,9.524,47
113,Car,2,248,9.656,78
114,Car,3,253,9.529,45
115,Car,2,248,9.680,76
116,Bus,2,249,9.610,72
117,Car,2,248,9.668,70
118,Car,3,254,9.483,40
119,Car,2,248,9.668,67
120,Car,2,248,9.661,65
121,Car,3,253,9.441,41
122,Car,3,240,9.962,53
123,Car,2,206,11.615,37
124,Car,2,206,11.631,36
125,Car,3,241,9.988,53
126,Car,3,241,10.004,53
127,Car,2,207,11.652,36
128,Car,3,241,9.967,52
129,Car,3,241,9.915,52
130,Car,2,238,10.116,66
131,Bus,2,241,9.985,58
132,Car,2,240,10.040,57
133,Car,3,241,9.934,52
134,Car,3,242,9.959,52
135,Car,3,242,9.954,52
136,Car,3,242,9.952,52
137,Car,2,239,10.014,52
138,Car,2,238,10.057,51
139,Car,2,238,10.068,47
140,Car,3,242,9.956,51
141,Plus Bus,1,80,30.078,15
142,Car,3,230,10.470,50
143,Car,2,227,10.567,43
144,Car,2,227,10.568,40
145,Car,3,230,10.469,52
146,Car,2,227,10.540,39
147,Car,3,230,10.438,51
148,Car,3,230,10.431,52
149,Car,2,227,10.547,34
150,Car,2,227,10.551,32
151,Car,2,227,10.553,29
152,Car,3,230,10.439,48
153,Car,2,227,10.591,29
154,Car,2,228,10.559,27
155,Car,2,228,10.540,25
156,Car,3,230,10.464,46
157,Car,3,230,10.455,47
158,Car,3,231,10.413,47
159,Car,3,231,10.435,46
160,Car,2,228,10.563,24
161,Car,2,228,10.567,21
162,Car,2,196,12.254,21
163,Car,2,196,12.245,22
164,Car,2,228,10.535,52
165,Car,3,197,12.220,47
166,Car,2,228,10.520,51
167,Car,2,228,10.493,50
168,Car,2,229,10.525,48
169,Bus,3,232,10.389,77
170,Car,2,229,10.513,48
171,Car,2,229,10.515,45
172,Car,3,231,10.421,78
173,Car,2,229,10.473,39
174,Car,2,229,10.482,40
175,Car,2,229,10.495,40
176,Car,2,229,10.468,39
177,Car,3,231,10.439,79
178,Car,2,229,10.495,39
179,Car,3,231,10.412,79
180,Car,3,231,10.429,78
181,Car,3,230,10.399,76
182,Car,3,173,13.830,47
183,Car,2,177,13.522,39
184,Car,3,173,13.816,47
185,Car,2,178,13.533,40
186,Car,2,177,13.528,40
187,Car,3,173,13.827,44
188,Car,3,174,13.859,45
189,Car,2,177,13.561,39
190,Car,3,173,13.822,46
191,Car,2,178,13.513,39
192,Car,3,173,13.856,47
193,Car,2,178,13.512,39
194,Car,2,178,13.525,39
195,Car,3,174,13.852,48
196,Car,3,174,13.843,46
197,Car,2,178,13.514,39
198,Bus,2,214,11.220,68
199,Car,2,213,11.264,69
200,Car,3,174,13.851,45
201,Car,3,174,13.837,43
202,Car,2,213,11.266,69
203,Car,3,174,13.845,45
204,Car,3,174,13.805,45
205,Car,2,214,11.239,70
206,Car,2,214,11.227,69
207,Car,3,174,13.853,45
208,Car,3,174,13.783,44
209,Bus,2,214,11.250,69
210,Car,3,207,11.598,75
211,Car,3,207,11.553,74
212,Car,2,213,11.313,69
213,Car,3,208,11.584,69
214,Car,2,212,11.281,69
215,Car,3,207,11.564,64
216,Car,2,213,11.312,65
217,Car,2,212,11.306,63
218,Car,2,212,11.341,62
219,Car,3,207,11.583,64
220,Car,2,212,11.308,62
221,Car,3,208,11.596,66
222,Bus,2,170,14.111,29
223,Plus Bus,1,58,41.323,0
224,Car,3,163,14.783,41
225,Car,3,163,14.773,39
226,Car,3,163,14.779,39
227,Car,2,169,14.175,29
