Throughput:,2600.000000
Iteration speed:,999
Interval between vehicle spawns:,30
Lanes in total:,4
Plsubus lanes:,1
Time stopped spawning cars, 3600
Duration of simulation, 3676
Total number of cars:,2619
ID, TYPE, LANE, SECS ON BRIDGE, AVG SPEED, TIME WAITED FOR GREEN
1,Car,2,301,7.965,243
2,Car,4,301,7.963,244
3,Car,4,334,7.199,273
4,Car,4,334,7.215,270
5,Car,2,301,7.991,243
6,Car,2,333,7.152,271
7,Plus Bus,1,338,7.085,264
8,Car,2,334,7.212,269
9,Car,4,333,7.166,268
10,Car,4,334,7.206,266
11,Car,4,334,7.199,264
12,Car,4,334,7.171,263
13,Car,4,334,7.192,262
14,Car,2,334,7.165,265
15,Car,2,335,7.197,265
16,Car,3,301,7.931,244
17,Car,4,334,7.164,261
18,Car,2,335,7.186,264
19,Car,3,334,7.201,274
20,Car,3,334,7.182,268
21,Car,3,334,7.178,267
22,Car,4,335,7.196,256
23,Car,3,334,7.167,266
24,Car,2,312,7.715,240
25,Car,3,309,7.737,241
26,Car,2,312,7.710,235
27,Car,4,315,7.654,236
28,Car,2,312,7.699,235
29,Car,4,314,7.606,234
30,Car,3,310,7.779,238
31,Car,4,315,7.638,232
32,Car,2,312,7.702,232
33,Car,2,312,7.721,230
34,Car,2,282,8.518,198
35,Car,2,282,8.515,197
36,Car,3,310,7.770,236
37,Car,4,315,7.656,230
38,Car,4,315,7.651,228
39,Car,3,310,7.748,234
40,Car,3,310,7.773,232
41,Car,4,285,8.364,194
42,Car,2,282,8.518,196
43,Car,2,282,8.503,194
44,Car,3,280,8.604,200
45,Car,4,285,8.375,191
46,Car,3,280,8.582,199
47,Car,3,280,8.552,195
48,Car,4,285,8.393,188
49,Car,4,285,8.406,184
50,Car,2,282,8.483,192
51,Car,2,283,8.515,189
52,Car,2,283,8.502,184
53,Car,4,285,8.378,181
54,Car,2,283,8.497,180
55,Car,3,280,8.541,192
56,Car,3,280,8.561,190
57,Car,2,283,8.482,177
58,Car,3,280,8.567,190
59,Car,3,281,8.581,184
60,Car,4,285,8.370,180
61,Car,4,286,8.430,177
62,Car,2,283,8.506,175
63,Car,2,316,7.593,202
64,Car,4,318,7.520,206
65,Car,2,317,7.605,200
66,Car,4,318,7.534,203
67,Car,2,316,7.594,197
68,Car,3,263,9.147,163
69,Car,4,303,7.954,183
70,Car,3,262,9.096,161
71,Car,3,262,9.106,160
72,Car,2,304,7.891,186
